,name,link
95,Uma Thurman,/name/nm0000235/?ref_=tt_cl_t1
96,Noel Appleby,/name/nm0032370/?ref_=tt_cl_t2
97,Ali Astin,/name/nm0040012/?ref_=tt_cl_t2
98,Sean Astin,/name/nm0000276/?ref_=tt_cl_t2
99,David Aston,/name/nm0040058/?ref_=tt_cl_t14
100,John Bach,/name/nm0045324/?ref_=tt_cl_t3
101,Sean Bean,/name/nm0000293/?ref_=tt_cl_t5
102,Cate Blanchett,/name/nm0000949/?ref_=tt_cl_t5
103,Orlando Bloom,/name/nm0089217/?ref_=tt_cl_t3
104,Billy Boyd,/name/nm0101710/?ref_=tt_cl_t7
105,Sadwyn Brophy,/name/nm1480092/?ref_=tt_cl_t10
106,Alistair Browning,/name/nm0115143/?ref_=tt_cl_t11
107,Marton Csokas,/name/nm0190744/?ref_=tt_cl_t9
108,Richard Edge,/name/nm1480102/?ref_=tt_cl_t13
109,Jason Fitch,/name/nm1480106/?ref_=tt_cl_t14
110,Bernard Hill,/name/nm0384060/?ref_=tt_cl_t12
111,Eli Wallach,/name/nm0908919/?ref_=tt_cl_t1
112,Clint Eastwood,/name/nm0000142/?ref_=tt_cl_t1
113,Lee Van Cleef,/name/nm0001812/?ref_=tt_cl_t2
114,Aldo Giuffrè,/name/nm0321294/?ref_=tt_cl_t4
115,Luigi Pistilli,/name/nm0685559/?ref_=tt_cl_t5
116,Rada Rassimov,/name/nm0711502/?ref_=tt_cl_t6
117,Enzo Petito,/name/nm0677654/?ref_=tt_cl_t7
118,Claudio Scarchilli,/name/nm0769116/?ref_=tt_cl_t8
119,John Bartha,/name/nm0058384/?ref_=tt_cl_t9
120,Livio Lorenzon,/name/nm0520859/?ref_=tt_cl_t10
121,Antonio Casale,/name/nm0142804/?ref_=tt_cl_t11
122,Sandro Scarchilli,/name/nm0769118/?ref_=tt_cl_t12
123,Benito Stefanelli,/name/nm0824934/?ref_=tt_cl_t8
124,Angelo Novi,/name/nm0637064/?ref_=tt_cl_t14
125,Antonio Casas,/name/nm0143030/?ref_=tt_cl_t15
126,Edward Norton,/name/nm0001570/?ref_=tt_cl_t10
127,Brad Pitt,/name/nm0000093/?ref_=tt_cl_t4
128,Meat Loaf,/name/nm0001533/?ref_=tt_cl_t3
129,Zach Grenier,/name/nm0340260/?ref_=tt_cl_t4
130,Richmond Arquette,/name/nm0037118/?ref_=tt_cl_t5
131,David Andrews,/name/nm0028625/?ref_=tt_cl_t6
132,George Maguire,/name/nm0536574/?ref_=tt_cl_t7
133,Eugenie Bondurant,/name/nm0094163/?ref_=tt_cl_t8
134,Helena Bonham Carter,/name/nm0000307/?ref_=tt_cl_t12
135,Christina Cabot,/name/nm0127680/?ref_=tt_cl_t10
136,Sydney 'Big Dawg' Colston,/name/nm0173257/?ref_=tt_cl_t11
137,Rachel Singer,/name/nm0802019/?ref_=tt_cl_t12
138,Christie Cronenweth,/name/nm0188728/?ref_=tt_cl_t13
139,Tim DeZarn,/name/nm0212498/?ref_=tt_cl_t14
140,Ezra Buzzington,/name/nm0125653/?ref_=tt_cl_t15
141,Alan Howard,/name/nm0397102/?ref_=tt_cl_t1
142,Sala Baker,/name/nm1019674/?ref_=tt_cl_t4
143,Megan Edwards,/name/nm1104283/?ref_=tt_cl_t10
144,Michael Elsworth,/name/nm1096480/?ref_=tt_cl_t11
145,Mark Ferguson,/name/nm0272527/?ref_=tt_cl_t12
146,Ian Holm,/name/nm0000453/?ref_=tt_cl_t6
147,Christopher Lee,/name/nm0000489/?ref_=tt_cl_t15
148,Lawrence Makoare,/name/nm0538692/?ref_=tt_cl_t15
149,Tom Hanks,/name/nm0000158/?ref_=tt_cl_t2
150,Rebecca Williams,/name/nm0931508/?ref_=tt_cl_t2
151,Sally Field,/name/nm0000398/?ref_=tt_cl_t3
152,Michael Conner Humphreys,/name/nm0402011/?ref_=tt_cl_t4
153,Harold G. Herthum,/name/nm0381041/?ref_=tt_cl_t5
154,George Kelly,/name/nm0446404/?ref_=tt_cl_t6
155,Bob Penny,/name/nm0672225/?ref_=tt_cl_t7
156,John Randall,/name/nm0709615/?ref_=tt_cl_t8
157,Sam Anderson,/name/nm0027402/?ref_=tt_cl_t9
158,Margo Moorer,/name/nm0602071/?ref_=tt_cl_t10
159,Ione M. Telech,/name/nm0854295/?ref_=tt_cl_t11
160,Christine Seabrook,/name/nm0780410/?ref_=tt_cl_t12
161,John Worsham,/name/nm0941621/?ref_=tt_cl_t13
162,Peter Dobson,/name/nm0229930/?ref_=tt_cl_t14
163,Siobhan Fallon Hogan,/name/nm0266441/?ref_=tt_cl_t15
164,Mark Hamill,/name/nm0000434/?ref_=tt_cl_t2
165,Harrison Ford,/name/nm0000148/?ref_=tt_cl_t1
166,Carrie Fisher,/name/nm0000402/?ref_=tt_cl_t3
167,Billy Dee Williams,/name/nm0001850/?ref_=tt_cl_t4
168,Anthony Daniels,/name/nm0000355/?ref_=tt_cl_t11
169,David Prowse,/name/nm0001190/?ref_=tt_cl_t11
170,Peter Mayhew,/name/nm0562679/?ref_=tt_cl_t13
171,Kenny Baker,/name/nm0048652/?ref_=tt_cl_t10
172,Frank Oz,/name/nm0000568/?ref_=tt_cl_t9
173,Alec Guinness,/name/nm0000027/?ref_=tt_cl_t2
174,Jeremy Bulloch,/name/nm0120116/?ref_=tt_cl_t11
175,John Hollis,/name/nm0391197/?ref_=tt_cl_t12
176,Jack Purvis,/name/nm0701023/?ref_=tt_cl_t12
177,Des Webb,/name/nm0916088/?ref_=tt_cl_t14
178,Clive Revill,/name/nm0720890/?ref_=tt_cl_t15
179,Leonardo DiCaprio,/name/nm0000138/?ref_=tt_cl_t1
180,Joseph Gordon-Levitt,/name/nm0330687/?ref_=tt_cl_t4
181,Ellen Page,/name/nm0680983/?ref_=tt_cl_t3
182,Tom Hardy,/name/nm0362766/?ref_=tt_cl_t1
183,Ken Watanabe,/name/nm0913822/?ref_=tt_cl_t9
184,Dileep Rao,/name/nm2438307/?ref_=tt_cl_t6
185,Tom Berenger,/name/nm0000297/?ref_=tt_cl_t1
186,Marion Cotillard,/name/nm0182839/?ref_=tt_cl_t6
187,Pete Postlethwaite,/name/nm0000592/?ref_=tt_cl_t7
188,Lukas Haas,/name/nm0001305/?ref_=tt_cl_t12
189,Tai-Li Lee,/name/nm2581730/?ref_=tt_cl_t13
190,Claire Geare,/name/nm3637500/?ref_=tt_cl_t14
191,Magnus Nolan,/name/nm3960408/?ref_=tt_cl_t15
192,Bruce Allpress,/name/nm0021600/?ref_=tt_cl_t1
